params,sharpe_ratio,total_return,annual_return,max_drawdown,sortino_ratio,calmar_ratio,num_trades,win_rate
"{'fast_period': 5, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 5, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 5, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 10, 'slow_period': 80}",1.2594838345598236,0.024756120507625656,0.04218954840471989,-0.0007891651677430778,,53.460986532612914,2,0.0
"{'fast_period': 10, 'slow_period': 140}",1.1804320597766353,0.028050739803024527,0.04785783369321406,-0.0027232503247559547,,17.573791604157012,2,0.0
"{'fast_period': 10, 'slow_period': 20}",0.5097988830079645,0.0629165709980366,0.1086097740880243,-0.1784794431810962,0.5579833811002196,0.6085281988347653,8,0.2857142857142857
"{'fast_period': 10, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 10, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 10, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 15, 'slow_period': 140}",1.6783713494190173,0.015313790798677562,0.02601393588046541,0.0,,,2,0.0
"{'fast_period': 15, 'slow_period': 80}",1.3208275284162918,0.02308471478541607,0.03931874953395509,0.0,,,2,0.0
"{'fast_period': 5, 'slow_period': 100}",1.2594838345598236,0.024756120507625656,0.04218954840471989,-0.0007891651677430778,,53.460986532612914,2,0.0
"{'fast_period': 15, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 15, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 15, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 20, 'slow_period': 140}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 20, 'slow_period': 160}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 20, 'slow_period': 180}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 20, 'slow_period': 200}",,0.0,0.0,0.0,,,1,0.0
"{'fast_period': 25, 'slow_period': 80}",0.2579394025305436,0.019817719306219894,0.033716711344790484,-0.207646114487129,0.24087005852202575,0.16237583558001237,4,0.6666666666666666
"{'fast_period': 25, 'slow_period': 40}",0.22603874362364107,0.015035830155745389,0.025539328612985246,-0.19688006013796644,0.24397025445946124,0.12972023980025305,6,0.2
