params,sharpe_ratio,total_return,annual_return,max_drawdown,sortino_ratio,calmar_ratio,num_trades,win_rate
"{'period': 10, 'overbought': 60, 'oversold': 15}",1.4576946523848446,0.14188430650936867,0.2513266253612336,-0.08088306309892279,1.7960912990683628,3.107283722104496,13,0.38461538461538464
"{'period': 10, 'overbought': 60, 'oversold': 20}",1.258197483999469,0.1302707431832395,0.2298964641339496,-0.11915484253485065,1.7265859737729117,1.929392538676798,18,0.4117647058823529
"{'period': 15, 'overbought': 70, 'oversold': 15}",1.241912828687768,0.1463081328285416,0.2595294883381807,-0.14569806872569768,1.7449058410626617,1.7812829683198528,12,0.5833333333333334
"{'period': 15, 'overbought': 65, 'oversold': 15}",1.0622982212735925,0.1007407287347799,0.17608846839290337,-0.08636579429170854,1.3607015403807643,2.0388681634554082,11,0.6
"{'period': 15, 'overbought': 60, 'oversold': 15}",0.9280828769036886,0.0908976057682942,0.15837171303277575,-0.11436597805663506,1.31715414972413,1.3847799470079174,10,0.6
"{'period': 10, 'overbought': 65, 'oversold': 15}",0.7922607775099662,0.08303152580045214,0.1442924741405982,-0.10519994920741182,0.7234700167435255,1.3716021274507624,16,0.4666666666666667
"{'period': 10, 'overbought': 60, 'oversold': 25}",0.6970009386086109,0.08657684988395786,0.15062943317917088,-0.20553359300180318,0.9382209269238452,0.7328701404925538,19,0.42105263157894735
"{'period': 10, 'overbought': 70, 'oversold': 15}",0.6850736964536299,0.058034618593396425,0.10001917764136903,-0.10990015717658341,0.753909855105399,0.9100913066089796,16,0.5
"{'period': 15, 'overbought': 70, 'oversold': 20}",0.6141240570309859,0.05705150281077298,0.09829252514921061,-0.14570444558197282,0.7677197805953551,0.6746021012372719,13,0.5
"{'period': 15, 'overbought': 80, 'oversold': 15}",0.3182516126441575,0.02576864832961001,0.043930233597763824,-0.14569806872569768,0.366730943838626,0.3015155518668558,4,0.6666666666666666
"{'period': 15, 'overbought': 85, 'oversold': 15}",0.3182516126441575,0.02576864832961001,0.043930233597763824,-0.14569806872569768,0.366730943838626,0.3015155518668558,4,0.6666666666666666
"{'period': 10, 'overbought': 65, 'oversold': 20}",0.31056644003346995,0.026030529204215558,0.044380638583965126,-0.14096310966057501,0.33576654090138564,0.31483867439381297,20,0.5
